Kanji,Grade,Freq
一,1,2
右,1,602
雨,1,950
円,1,69
王,1,684
音,1,491
下,1,97
火,1,574
花,1,578
貝,1,1787
学,1,63
気,1,113
九,1,55
休,1,642
玉,1,737
金,1,53
空,1,304
月,1,23
犬,1,1326
見,1,22
五,1,31
口,1,284
校,1,294
左,1,630
三,1,14
山,1,131
子,1,72
四,1,47
糸,1,1488
字,1,485
耳,1,1328
七,1,115
車,1,333
手,1,60
十,1,8
出,1,13
女,1,151
小,1,114
上,1,35
森,1,609
人,1,5
水,1,223
正,1,143
生,1,29
青,1,589
夕,1,924
石,1,342
赤,1,584
千,1,195
川,1,181
先,1,173
早,1,402
草,1,967
足,1,343
村,1,253
大,1,7
男,1,240
竹,1,593
中,1,11
虫,1,1351
町,1,292
天,1,512
田,1,90
土,1,307
二,1,9
日,1,1
入,1,56
年,1,6
白,1,483
八,1,92
百,1,163
文,1,190
木,1,317
本,1,10
名,1,177
目,1,76
立,1,58
力,1,62
林,1,656
六,1,93
