Kanji,Grade,Frequency of use
異,6,631
遺,6,647
域,6,396
宇,6,883
映,6,404
延,6,747
沿,6,1121
我,6,829
灰,6,1717
拡,6,611
革,6,249
閣,6,444
割,6,318
株,6,432
干,6,1349
巻,6,944
看,6,1060
簡,6,983
危,6,606
机,6,1671
揮,6,946
貴,6,970
疑,6,283
吸,6,1054
供,6,313
胸,6,1144
郷,6,1077
勤,6,830
筋,6,744
系,6,567
敬,6,1078
警,6,366
劇,6,662
激,6,560
穴,6,1366
絹,6,1916
権,6,156
憲,6,551
源,6,738
厳,6,638
己,6,1098
呼,6,498
誤,6,1150
后,6,1583
孝,6,1030
皇,6,721
紅,6,1299
降,6,596
鋼,6,1246
刻,6,866
穀,6,1744
骨,6,936
困,6,843
砂,6,1146
座,6,588
済,6,168
裁,6,297
策,6,209
冊,6,1313
蚕,6,2272
至,6,996
私,6,242
姿,6,441
視,6,362
詞,6,1636
誌,6,851
磁,6,1686
射,6,937
捨,6,1266
尺,6,1940
若,6,458
樹,6,988
収,6,337
宗,6,997
就,6,624
衆,6,450
従,6,601
縦,6,1258
縮,6,909
熟,6,1415
純,6,1044
処,6,547
署,6,725
諸,6,658
除,6,594
将,6,634
傷,6,845
障,6,742
城,6,795
蒸,6,1552
針,6,505
仁,6,1332
垂,6,1720
推,6,507
寸,6,1669
盛,6,712
聖,6,1165
誠,6,1128
宣,6,695
専,6,506
泉,6,1086
洗,6,1168
染,6,837
善,6,765
奏,6,1067
窓,6,1186
創,6,741
装,6,657
層,6,801
操,6,1016
蔵,6,468
臓,6,991
存,6,577
尊,6,1181
宅,6,357
担,6,422
探,6,930
誕,6,1024
段,6,479
暖,6,1371
値,6,518
宙,6,1005
忠,6,1113
著,6,849
庁,6,793
頂,6,1350
潮,6,1231
賃,6,961
痛,6,903
展,6,352
討,6,528
党,6,39
糖,6,1471
届,6,939
難,6,330
乳,6,1289
認,6,198
納,6,987
脳,6,459
派,6,164
拝,6,1443
背,6,696
肺,6,1387
俳,6,1137
班,6,1592
晩,6,1424
否,6,561
批,6,568
秘,6,862
腹,6,1286
奮,6,1521
並,6,599
陛,6,1429
閉,6,951
片,6,1076
補,6,332
暮,6,978
宝,6,1139
訪,6,372
亡,6,661
忘,6,1129
棒,6,1455
枚,6,911
幕,6,835
密,6,815
盟,6,587
模,6,668
訳,6,1050
郵,6,917
優,6,334
幼,6,1227
欲,6,902
翌,6,1070
乱,6,755
卵,6,1342
覧,6,1510
裏,6,812
律,6,992
臨,6,722
朗,6,1374
論,6,227
