Kanji,Grade,Freq
一,1,2
右,1,602
雨,1,950
円,1,69
王,1,684
音,1,491
下,1,97
火,1,574
花,1,578
貝,1,1787
学,1,63
気,1,113
九,1,55
休,1,642
玉,1,737
金,1,53
空,1,304
月,1,23
犬,1,1326
見,1,22
五,1,31
口,1,284
校,1,294
左,1,630
三,1,14
山,1,131
子,1,72
四,1,47
糸,1,1488
字,1,485
耳,1,1328
七,1,115
車,1,333
手,1,60
十,1,8
出,1,13
女,1,151
小,1,114
上,1,35
森,1,609
人,1,5
水,1,223
正,1,143
生,1,29
青,1,589
夕,1,924
石,1,342
赤,1,584
千,1,195
川,1,181
先,1,173
早,1,402
草,1,967
足,1,343
村,1,253
大,1,7
男,1,240
竹,1,593
中,1,11
虫,1,1351
町,1,292
天,1,512
田,1,90
土,1,307
二,1,9
日,1,1
入,1,56
年,1,6
白,1,483
八,1,92
百,1,163
文,1,190
木,1,317
本,1,10
名,1,177
目,1,76
立,1,58
力,1,62
林,1,656
六,1,93
引,2,218
羽,2,748
雲,2,1256
園,2,628
遠,2,887
何,2,340
科,2,531
夏,2,659
家,2,133
歌,2,519
画,2,199
回,2,50
会,2,4
海,2,200
絵,2,895
外,2,81
角,2,805
楽,2,373
活,2,171
間,2,33
丸,2,542
岩,2,787
顔,2,676
汽,2,2020
記,2,149
帰,2,504
弓,2,1802
牛,2,1202
魚,2,1208
京,2,74
強,2,112
教,2,166
近,2,194
兄,2,1219
形,2,418
計,2,228
元,2,192
言,2,83
原,2,172
戸,2,575
古,2,509
午,2,154
後,2,26
語,2,301
工,2,299
公,2,118
広,2,263
交,2,178
光,2,527
考,2,196
行,2,20
高,2,65
黄,2,1240
合,2,41
谷,2,508
国,2,3
黒,2,573
今,2,49
才,2,1497
細,2,537
作,2,103
算,2,361
止,2,310
市,2,42
矢,2,1294
姉,2,1473
思,2,132
紙,2,559
寺,2,879
自,2,19
時,2,16
室,2,550
社,2,21
弱,2,958
首,2,98
秋,2,635
週,2,540
春,2,579
書,2,169
少,2,287
場,2,52
色,2,621
食,2,328
心,2,157
新,2,51
親,2,406
図,2,539
数,2,148
西,2,259
声,2,388
星,2,844
晴,2,1022
切,2,324
雪,2,1131
船,2,713
線,2,382
前,2,27
組,2,204
走,2,626
多,2,139
太,2,552
体,2,88
台,2,262
地,2,40
池,2,827
知,2,205
茶,2,1116
昼,2,1115
長,2,12
鳥,2,1043
朝,2,248
直,2,246
通,2,80
弟,2,1161
店,2,378
点,2,165
電,2,268
刀,2,1794
冬,2,1090
当,2,91
東,2,37
答,2,486
頭,2,433
同,2,15
道,2,207
読,2,618
内,2,44
南,2,341
肉,2,986
馬,2,639
売,2,202
買,2,520
麦,2,1615
半,2,224
番,2,348
父,2,646
風,2,558
分,2,24
聞,2,319
米,2,61
歩,2,554
母,2,570
方,2,46
北,2,153
毎,2,436
妹,2,1446
万,2,375
明,2,67
鳴,2,1279
毛,2,1179
門,2,452
夜,2,487
野,2,120
友,2,622
用,2,107
曜,2,940
来,2,102
里,2,1096
理,2,86
話,2,134
悪,3,530
安,3,144
暗,3,1040
医,3,437
委,3,187
意,3,99
育,3,369
員,3,54
院,3,150
飲,3,969
運,3,255
泳,3,1223
駅,3,724
央,3,582
横,3,480
屋,3,616
温,3,838
化,3,89
荷,3,1230
界,3,158
開,3,59
階,3,513
寒,3,1456
感,3,233
漢,3,1487
館,3,613
岸,3,556
起,3,374
期,3,117
客,3,557
究,3,368
急,3,309
級,3,785
宮,3,367
球,3,302
去,3,440
橋,3,553
業,3,43
曲,3,810
局,3,286
銀,3,395
区,3,137
苦,3,623
具,3,629
君,3,947
係,3,232
軽,3,790
血,3,832
決,3,71
研,3,336
県,3,140
庫,3,852
湖,3,1344
向,3,182
幸,3,786
港,3,495
号,3,585
根,3,620
祭,3,1124
皿,3,1812
仕,3,439
死,3,229
使,3,219
始,3,244
指,3,155
歯,3,1106
詩,3,1196
次,3,222
事,3,18
持,3,119
式,3,251
実,3,68
写,3,453
者,3,38
主,3,95
守,3,457
取,3,122
酒,3,1006
受,3,136
州,3,386
拾,3,1479
終,3,256
習,3,706
集,3,210
住,3,270
重,3,193
宿,3,701
所,3,221
暑,3,1442
助,3,397
昭,3,697
消,3,345
商,3,413
章,3,990
勝,3,185
乗,3,377
植,3,699
申,3,492
身,3,320
神,3,347
真,3,279
深,3,484
進,3,142
世,3,135
整,3,478
昔,3,1197
全,3,75
相,3,45
送,3,311
想,3,381
息,3,882
速,3,576
族,3,393
他,3,543
打,3,239
対,3,34
待,3,391
代,3,66
第,3,160
題,3,96
