Kanji,Grade,Freq
一,1,17
右,1,623
雨,1,552
円,1,218
王,1,214
音,1,4
下,1,99
火,1,226
花,1,550
貝,1,1895
学,1,139
気,1,15
九,1,809
休,1,511
玉,1,729
金,1,112
空,1,209
月,1,43
犬,1,902
見,1,6
五,1,744
口,1,242
校,1,560
左,1,617
三,1,181
山,1,128
子,1,51
四,1,553
糸,1,1536
字,1,415
耳,1,1101
七,1,1082
車,1,343
手,1,46
十,1,420
出,1,11
女,1,86
小,1,165
上,1,29
森,1,528
人,1,2
水,1,207
正,1,121
生,1,5
青,1,529
夕,1,1094
石,1,308
赤,1,602
千,1,488
川,1,252
先,1,145
早,1,341
草,1,783
足,1,303
村,1,369
大,1,16
男,1,293
竹,1,1298
中,1,19
虫,1,1052
町,1,674
天,1,249
田,1,110
土,1,381
二,1,129
日,1,3
入,1,18
年,1,22
白,1,116
八,1,795
百,1,564
文,1,176
木,1,359
本,1,12
名,1,41
目,1,64
立,1,127
力,1,93
林,1,999
六,1,1093
