Kanji,Grade,Freq
一,1,17
右,1,623
雨,1,552
円,1,218
王,1,214
音,1,4
下,1,99
火,1,226
花,1,550
貝,1,1895
学,1,139
気,1,15
九,1,809
休,1,511
玉,1,729
金,1,112
空,1,209
月,1,43
犬,1,902
見,1,6
五,1,744
口,1,242
校,1,560
左,1,617
三,1,181
山,1,128
子,1,51
四,1,553
糸,1,1536
字,1,415
耳,1,1101
七,1,1082
車,1,343
手,1,46
十,1,420
出,1,11
女,1,86
小,1,165
上,1,29
森,1,528
人,1,2
水,1,207
正,1,121
生,1,5
青,1,529
夕,1,1094
石,1,308
赤,1,602
千,1,488
川,1,252
先,1,145
早,1,341
草,1,783
足,1,303
村,1,369
大,1,16
男,1,293
竹,1,1298
中,1,19
虫,1,1052
町,1,674
天,1,249
田,1,110
土,1,381
二,1,129
日,1,3
入,1,18
年,1,22
白,1,116
八,1,795
百,1,564
文,1,176
木,1,359
本,1,12
名,1,41
目,1,64
立,1,127
力,1,93
林,1,999
六,1,1093
引,2,227
羽,2,980
雲,2,455
園,2,670
遠,2,572
何,2,52
科,2,700
夏,2,504
家,2,152
歌,2,184
画,2,31
回,2,54
会,2,73
海,2,174
絵,2,379
外,2,83
角,2,740
楽,2,119
活,2,284
間,2,44
丸,2,768
岩,2,892
顔,2,461
汽,2,2932
記,2,69
帰,2,525
弓,2,1845
牛,2,1136
魚,2,940
京,2,360
強,2,148
教,2,133
近,2,149
兄,2,1066
形,2,356
計,2,333
元,2,192
言,2,27
原,2,166
戸,2,682
古,2,483
午,2,1137
後,2,65
語,2,81
工,2,540
公,2,115
広,2,396
交,2,462
光,2,466
考,2,138
行,2,37
高,2,67
黄,2,1175
合,2,40
谷,2,490
国,2,50
黒,2,506
今,2,30
才,2,1122
細,2,262
作,2,28
算,2,697
止,2,257
市,2,264
矢,2,1077
姉,2,840
思,2,9
紙,2,704
寺,2,1245
自,2,35
時,2,21
室,2,836
社,2,177
弱,2,673
首,2,491
秋,2,703
週,2,347
春,2,505
書,2,60
少,2,162
場,2,58
色,2,197
食,2,154
心,2,180
新,2,33
親,2,442
図,2,456
数,2,111
西,2,329
声,2,334
星,2,425
晴,2,765
切,2,156
雪,2,636
船,2,1034
線,2,358
前,2,42
組,2,175
走,2,443
多,2,106
太,2,345
体,2,76
台,2,475
地,2,59
池,2,938
知,2,77
茶,2,722
昼,2,1109
長,2,131
鳥,2,785
朝,2,305
直,2,202
通,2,94
弟,2,1331
店,2,454
点,2,118
電,2,206
刀,2,1375
冬,2,936
当,2,85
東,2,183
答,2,754
頭,2,307
同,2,100
道,2,219
読,2,194
内,2,108
南,2,522
肉,2,601
馬,2,291
売,2,157
買,2,136
麦,2,1763
半,2,314
番,2,191
父,2,1025
風,2,205
分,2,20
聞,2,232
米,2,277
歩,2,581
母,2,760
方,2,23
北,2,223
毎,2,409
妹,2,1232
万,2,273
明,2,96
鳴,2,1115
毛,2,992
門,2,695
夜,2,430
野,2,203
友,2,577
用,2,74
曜,2,478
来,2,70
里,2,918
理,2,88
話,2,78
悪,3,150
安,3,117
暗,3,658
医,3,826
委,3,923
意,3,82
育,3,609
員,3,239
院,3,625
飲,3,555
運,3,376
泳,3,1599
駅,3,1242
央,3,1196
横,3,318
屋,3,355
温,3,757
化,3,103
荷,3,1157
界,3,186
開,3,75
階,3,666
寒,3,1138
感,3,32
漢,3,1289
館,3,497
岸,3,1392
起,3,274
期,3,130
客,3,820
究,3,707
急,3,640
級,3,445
宮,3,538
球,3,335
去,3,283
橋,3,937
業,3,182
曲,3,1
局,3,337
銀,3,691
区,3,771
苦,3,547
具,3,612
君,3,498
係,3,349
軽,3,624
血,3,879
決,3,159
研,3,662
県,3,306
庫,3,1009
湖,3,1659
向,3,211
幸,3,679
港,3,1203
号,3,471
根,3,593
祭,3,800
皿,3,1746
仕,3,225
死,3,178
使,3,48
始,3,246
指,3,328
歯,3,1158
詩,3,1570
次,3,170
事,3,25
持,3,109
式,3,147
実,3,72
写,3,435
者,3,34
主,3,204
守,3,618
取,3,126
酒,3,824
受,3,331
州,3,895
拾,3,1429
終,3,168
習,3,690
集,3,237
住,3,643
重,3,185
宿,3,1347
所,3,144
暑,3,1423
助,3,638
昭,3,946
消,3,267
商,3,681
章,3,842
勝,3,98
乗,3,382
植,3,1007
申,3,739
身,3,290
神,3,193
真,3,196
深,3,413
進,3,286
世,3,135
整,3,796
昔,3,363
全,3,66
相,3,171
送,3,298
想,3,195
